Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
G,1,Leno,4.5,4.5,Arsenal,1,0.12,3,0.13,5,0.23
G,2,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00
M,3,Willian,6.3,6.3,Arsenal,0,0.00,0,0.00,0,0.00
F,4,Aubameyang,9.6,9.6,Arsenal,0,0.00,0,0.00,0,0.00
D,5,Cédric,4.2,4.2,Arsenal,33,2.75,27,1.22,21,1.07
F,6,Lacazette,8.2,8.2,Arsenal,30,3.79,29,1.83,35,2.34
M,7,Xhaka,4.8,4.8,Arsenal,87,5.27,84,2.55,81,2.68
D,8,Marí,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00
D,9,Bellerín,4.8,4.8,Arsenal,0,0.00,0,0.00,0,0.00
D,10,Chambers,4.2,4.2,Aston Villa,18,1.09,23,2.02,26,0.51
D,11,Kolasinac,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00
M,12,Elneny,4.4,4.4,Arsenal,83,5.15,74,2.36,60,2.10
M,13,Maitland-Niles,5.2,5.2,Arsenal,0,0.00,0,0.00,0,0.00
D,14,Holding,4.1,4.1,Arsenal,27,2.33,15,0.61,22,1.06
M,15,Partey,5.0,5.0,Arsenal,0,0.00,7,0.27,28,1.08
D,16,Tierney,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00
M,17,Pépé,6.9,6.9,Arsenal,12,1.81,16,1.17,20,1.60
M,18,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,19,Willock,5.4,5.4,Newcastle,59,1.91,54,2.11,52,2.14
F,20,Nketiah,5.5,5.5,Arsenal,68,7.67,68,3.58,63,3.73
M,21,Smith Rowe,5.7,5.7,Arsenal,40,4.62,43,2.41,41,2.57
M,22,Saka,6.7,6.5,Arsenal,81,10.77,76,4.86,74,5.40
D,23,Gabriel,5.4,5.4,Arsenal,86,6.93,84,3.66,80,4.01
D,24,Mavropanos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,25,Guendouzi,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,26,Martinelli,5.3,5.3,Arsenal,48,5.50,49,2.69,49,3.02
D,27,Saliba,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
G,28,Steer,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00
M,29,Hourihane,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00
G,30,Martínez,5.5,5.5,Aston Villa,88,6.84,87,7.76,87,3.07
D,31,Engels,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00
M,32,Traoré,5.7,5.7,Aston Villa,11,1.25,11,1.50,13,0.62
M,33,Grealish,7.5,7.5,Man City,48,6.09,44,2.67,47,3.15
M,34,Sanson,5.0,5.0,Aston Villa,5,0.55,8,0.91,11,0.49
M,35,McGinn,5.6,5.6,Aston Villa,86,5.02,82,5.56,80,1.97
D,36,Hause,4.4,4.4,Aston Villa,0,0.03,2,0.20,5,0.13
M,37,Trézéguet,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00
D,38,Mings,5.0,5.0,Aston Villa,88,4.84,85,7.19,80,1.28
D,39,Targett,4.7,4.7,Newcastle,86,1.35,83,2.45,78,2.77
F,40,Watkins,7.5,7.4,Aston Villa,82,6.92,82,8.25,76,2.49
M,41,Nakamba,4.4,4.4,Aston Villa,19,1.34,21,1.49,25,0.77
M,42,El Ghazi,5.6,5.6,Everton,2,0.29,1,0.27,1,0.10
M,43,Buendía,6.1,6.1,Aston Villa,49,4.56,41,4.60,46,1.70
D,44,Cash,5.3,5.3,Aston Villa,86,4.97,84,7.44,83,1.34
D,45,Konsa,4.9,4.9,Aston Villa,77,4.42,75,6.45,75,1.25
D,46,Guilbert,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00
F,47,Wesley,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00
F,48,Samatta,5.5,5.5,Aston Villa,0,0.00,0,0.00,0,0.00
F,49,Davis,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00
M,50,Douglas Luiz,4.3,4.3,Aston Villa,32,2.17,36,2.61,33,0.99
M,51,Ramsey,4.7,4.7,Aston Villa,79,5.30,76,6.04,72,2.01
D,52,Young,4.7,4.7,Aston Villa,7,0.53,9,0.84,10,0.28
M,53,Lallana,5.3,5.3,Brighton,9,0.52,10,0.53,10,0.56
G,54,Steele,3.9,3.9,Brighton,0,0.02,2,0.07,3,0.12
M,55,Groß,5.7,5.7,Brighton,42,2.23,44,2.33,39,2.24
D,56,Duffy,4.0,4.0,Brighton,12,0.44,17,0.58,13,0.58
M,57,Pröpper,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00
D,58,Burn,4.4,4.4,Newcastle,85,1.33,83,2.45,80,2.85
D,59,Dunk,4.8,4.8,Brighton,87,2.90,84,2.70,83,3.44
M,60,March,5.3,5.3,Brighton,49,1.99,47,1.91,43,1.91
D,61,Webster,4.3,4.3,Brighton,41,1.50,50,1.71,34,1.51
D,62,Veltman,4.2,4.2,Brighton,79,2.53,73,2.28,73,2.84
F,63,Maupay,6.2,6.2,Brighton,53,2.80,48,2.57,46,2.64
M,64,Trossard,5.8,5.8,Brighton,72,3.38,67,3.16,65,3.38
G,65,Ryan,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00
M,66,Jahanbakhsh,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00
D,67,White,4.6,4.6,Arsenal,69,4.75,85,3.36,79,3.54
D,68,Bernardo,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00
G,69,Sánchez,4.5,4.5,Brighton,90,3.56,88,3.45,87,3.78
M,70,Bissouma,4.4,4.4,Brighton,83,2.44,82,2.38,76,2.43
D,71,Lamptey,4.5,4.5,Brighton,36,1.48,36,1.44,73,3.38
F,72,Connolly,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00
M,73,Alzate,4.8,4.8,Brighton,2,0.15,3,0.22,3,0.24
M,74,Mac Allister,5.1,5.1,Brighton,74,3.39,68,3.11,69,3.48
M,75,Moder,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00
D,76,Jansson,4.4,4.4,Brentford,87,3.19,83,2.34,80,2.83
M,77,Nørgaard,5.0,5.0,Brentford,84,2.73,82,2.38,78,2.60
F,78,Toney,6.9,6.9,Brentford,86,4.89,81,3.71,77,4.58
M,79,Fosu,5.1,5.1,Brentford,4,0.32,3,0.21,2,0.20
G,80,Raya,4.3,4.3,Brentford,89,3.83,86,3.37,87,3.63
M,81,Canós,5.5,5.5,Brentford,12,0.74,20,1.03,27,1.55
M,82,Dasilva,5.3,5.3,Brentford,12,0.66,13,0.66,15,0.86
D,83,Henry,4.5,4.5,Brentford,79,3.08,69,2.17,72,2.74
M,84,Janelt,4.9,4.9,Brentford,71,2.70,70,2.36,69,2.66
M,85,Ghoddos,5.2,5.2,Brentford,4,0.28,8,0.45,16,0.86
M,86,Jensen,4.9,4.9,Brentford,23,1.14,24,1.08,27,1.30
D,87,Goode,3.9,3.9,Brentford,0,0.00,0,0.00,0,0.00
F,88,Forss,5.3,5.3,Brentford,0,0.00,0,0.00,0,0.00
D,89,Roerslev,4.1,4.1,Brentford,52,2.08,47,1.50,41,1.61
D,90,Sørensen,4.3,4.3,Brentford,41,1.54,29,0.91,27,0.99
D,91,Pinnock,4.4,4.4,Brentford,40,1.60,76,2.31,79,2.97
