Pos,ID,Name,BV,SV,Team,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts
D,1,Cédric,4.2,4.2,Arsenal,3,0.13,7,0.37,7,0.22,8,0.31
G,2,Leno,4.5,4.5,Fulham,88,3.28,87,3.62,86,3.19,85,3.09
M,3,Xhaka,5.1,5.1,Arsenal,81,2.99,78,3.44,75,2.32,70,2.47
M,4,Elneny,4.3,4.3,Arsenal,0,0.00,0,0.00,2,0.03,8,0.29
D,5,Holding,4.2,4.2,Arsenal,3,0.10,7,0.23,8,0.23,8,0.28
M,6,Partey,4.8,4.8,Arsenal,82,2.82,81,3.24,78,2.29,77,2.54
M,7,Ødegaard,6.4,6.4,Arsenal,71,3.97,71,4.74,71,3.08,68,3.53
D,8,Tierney,4.8,4.8,Arsenal,21,1.04,21,1.28,22,0.83,24,1.19
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.5,4.5,Arsenal,74,3.39,74,4.21,71,2.33,69,3.10
F,11,Nketiah,6.5,6.5,Arsenal,26,1.76,38,3.04,36,1.89,37,2.28
M,12,Smith Rowe,5.6,5.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
M,13,Saka,7.9,7.9,Arsenal,79,5.01,74,5.97,74,3.64,74,4.35
D,14,Tomiyasu,4.2,4.2,Arsenal,44,2.06,46,2.69,48,1.65,48,2.21
G,15,Ramsdale,4.9,4.9,Arsenal,89,3.90,89,4.41,87,3.40,87,3.78
D,16,Gabriel,5.1,5.1,Arsenal,79,3.83,79,4.89,76,2.65,75,3.54
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.4,4.4,Arsenal,8,0.30,10,0.41,9,0.35,10,0.37
M,19,Martinelli,6.7,6.3,Arsenal,78,5.22,76,6.39,73,3.74,72,4.48
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,0,0.00,0,0.00,0,0.00,0,0.00
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.8,4.8,Arsenal,0,0.00,2,0.10,2,0.07,3,0.15
G,24,Turner,3.9,3.9,Arsenal,1,0.00,1,0.00,3,0.08,3,0.13
M,25,Fábio Vieira,5.7,5.7,Arsenal,30,1.69,35,2.40,35,1.58,36,1.92
D,26,Saliba,5.1,5.1,Arsenal,87,3.90,71,4.05,71,2.29,70,3.08
M,27,Marquinhos,4.7,4.7,Arsenal,5,0.36,8,0.61,8,0.45,8,0.50
F,28,Jesus,8.0,8.0,Arsenal,81,5.62,64,5.67,69,3.64,68,4.36
M,29,Coutinho,6.7,6.7,Aston Villa,58,3.56,54,2.54,56,2.92,53,2.51
F,30,Ings,6.7,6.7,Aston Villa,54,3.42,49,2.44,50,2.77,49,2.44
G,31,Martínez,4.9,4.9,Aston Villa,89,3.76,88,3.30,87,3.40,87,3.36
D,32,Chambers,4.3,4.3,Aston Villa,24,0.83,15,0.35,18,0.51,15,0.42
D,33,Digne,4.6,4.6,Aston Villa,0,0.00,3,0.09,42,1.41,68,2.20
M,34,Traoré,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
G,35,Olsen,4.0,4.0,Aston Villa,1,0.04,2,0.04,3,0.08,3,0.12
M,36,Sanson,4.4,4.4,Aston Villa,5,0.24,6,0.30,7,0.35,8,0.37
M,37,McGinn,5.2,5.2,Aston Villa,79,2.89,77,2.32,73,2.41,69,2.17
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.4,4.4,Aston Villa,70,2.51,82,1.96,80,2.18,79,2.16
F,40,Watkins,7.2,7.2,Aston Villa,82,3.89,81,3.05,79,3.28,78,2.94
M,41,Nakamba,4.3,4.3,Aston Villa,10,0.38,14,0.46,15,0.54,14,0.46
M,42,Buendía,5.8,5.8,Aston Villa,39,2.34,40,1.92,42,2.17,42,2.00
D,43,Cash,4.6,4.6,Aston Villa,85,3.46,82,2.19,78,2.46,76,2.30
D,44,Konsa,4.4,4.4,Aston Villa,84,3.02,82,2.00,79,2.20,78,2.18
M,45,Bailey,4.6,4.6,Aston Villa,54,3.36,61,2.80,57,2.96,57,2.70
M,46,Douglas Luiz,4.8,4.8,Aston Villa,68,2.29,63,1.84,60,1.86,63,1.85
M,47,Ramsey,5.2,5.2,Aston Villa,60,2.61,59,2.10,58,2.27,60,2.15
M,48,Chukwuemeka,4.3,4.3,Chelsea,2,0.08,5,0.27,2,0.15,4,0.27
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
F,54,Archer,4.3,4.3,Aston Villa,6,0.29,8,0.34,8,0.37,8,0.39
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,2,0.07,2,0.03,1,0.03,1,0.00
D,57,Smith,4.4,4.4,Bournemouth,77,1.70,61,1.42,61,1.56,63,2.14
M,58,Stanislas,4.8,4.8,Bournemouth,10,0.53,13,0.68,14,0.76,16,1.01
D,59,Fredericks,4.4,4.4,Bournemouth,76,1.83,73,1.87,70,1.94,67,2.46
M,60,Brooks,5.3,5.3,Bournemouth,0,0.00,0,0.00,0,0.00,1,0.00
M,61,Lowe,5.2,5.2,Bournemouth,2,0.13,4,0.20,5,0.26,6,0.39
F,62,Moore,5.5,5.5,Bournemouth,13,0.59,17,0.84,15,0.73,18,0.99
M,63,Marcondes,4.8,4.8,Bournemouth,1,0.06,2,0.13,2,0.13,3,0.13
M,64,Lerma,4.9,4.9,Bournemouth,81,2.04,78,2.00,74,1.99,74,2.14
D,65,Stacey,4.3,4.3,Bournemouth,7,0.20,14,0.37,16,0.43,17,0.58
F,66,Solanke,5.8,5.8,Bournemouth,86,3.51,81,3.50,80,3.72,77,3.92
M,67,Cook,4.9,4.9,Bournemouth,74,1.93,72,1.92,69,1.89,67,1.95
M,68,Pearson,4.4,4.4,Bournemouth,16,0.60,20,0.70,22,0.78,22,0.83
M,69,Christie,5.3,5.3,Bournemouth,64,2.35,63,2.37,62,2.42,61,2.58
M,70,Billing,5.3,5.3,Bournemouth,78,2.74,75,2.73,74,2.85,72,3.07
D,71,Mepham,4.4,4.4,Bournemouth,86,1.73,80,1.72,72,1.72,68,2.22
G,72,Travers,4.4,4.4,Bournemouth,1,0.04,4,0.11,3,0.11,4,0.12
D,73,Kelly,4.4,4.4,Bournemouth,0,0.00,12,0.26,34,0.86,63,2.14
M,74,Dembélé,4.7,4.7,Bournemouth,4,0.20,7,0.30,7,0.36,8,0.43
M,75,Anthony,5.3,5.3,Bournemouth,25,1.11,25,1.19,28,1.35,27,1.36
D,76,Zemura,4.4,4.4,Bournemouth,21,0.58,31,0.90,32,0.96,31,1.23
G,77,Dennis,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00
D,78,Jansson,4.3,4.3,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
M,79,Nørgaard,5.3,5.3,Brentford,0,0.00,9,0.34,37,1.30,63,1.58
F,80,Toney,7.4,7.4,Brentford,85,3.96,64,3.53,67,3.73,72,2.42
G,81,Raya,4.5,4.5,Brentford,88,3.38,87,3.75,86,3.63,87,3.19
D,82,Canós,5.0,5.0,Brentford,6,0.34,9,0.56,11,0.64,13,0.36
M,83,Dasilva,4.4,4.4,Brentford,35,1.63,34,1.82,33,1.79,31,1.23
D,84,Ajer,4.5,4.5,Brentford,75,2.27,74,3.02,67,2.68,68,1.09
D,85,Henry,4.5,4.5,Brentford,84,2.57,82,3.44,80,3.27,79,1.14
M,86,Janelt,5.5,5.5,Brentford,68,2.23,67,2.45,63,2.30,55,1.55
M,87,Ghoddos,4.8,4.8,Brentford,2,0.13,5,0.32,6,0.32,6,0.26
M,88,Jensen,5.0,5.0,Brentford,70,2.52,68,2.72,64,2.59,61,1.85
M,89,Wissa,5.4,5.4,Brentford,33,1.82,43,2.69,39,2.48,36,1.53
D,90,Roerslev,4.3,4.3,Brentford,40,1.30,40,1.76,46,1.89,44,0.73
D,91,Bech,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
D,92,Pinnock,4.4,4.4,Brentford,85,2.39,83,3.16,81,2.99,77,1.12
M,93,Onyeka,4.8,4.8,Brentford,41,1.49,41,1.61,36,1.45,31,1.06
M,94,Baptiste,4.5,4.5,Brentford,39,1.55,38,1.69,31,1.39,26,0.99
F,95,Mbeumo,5.9,5.9,Brentford,67,3.04,64,3.25,62,3.23,61,2.15
D,96,Goode,3.9,3.9,Brentford,0,0.00,1,0.05,2,0.09,2,0.06
F,97,Forss,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
D,98,Thompson,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
M,99,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
G,100,Balcombe,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00
M,101,Lallana,4.9,4.9,Brighton,39,1.45,46,1.99,45,1.97,46,2.29
G,102,Steele,4.0,4.0,Brighton,1,0.00,2,0.04,2,0.09,2,0.10
F,103,Welbeck,6.5,6.5,Brighton,74,2.50,77,3.33,75,3.35,73,3.84
M,104,Groß,5.8,5.8,Brighton,70,2.23,71,2.93,72,3.07,72,3.53
D,105,Duffy,4.4,4.4,Fulham,4,0.14,6,0.20,9,0.17,7,0.18
D,106,Dunk,4.7,4.6,Brighton,88,1.33,84,2.92,84,3.20,82,3.71
M,107,March,5.0,5.0,Brighton,76,2.13,73,2.54,72,2.58,70,2.88
D,108,Webster,4.5,4.5,Brighton,85,1.31,83,2.84,81,3.06,80,3.60
D,109,Veltman,4.7,4.7,Brighton,78,1.27,78,2.69,75,2.86,73,3.27
F,110,Maupay,6.1,6.1,Everton,44,2.14,26,1.33,24,1.40,25,1.35
M,111,Trossard,6.9,6.9,Brighton,75,2.63,72,3.41,71,3.51,71,4.20
D,112,Cucurella,5.1,5.1,Chelsea,65,2.73,59,2.49,62,2.43,61,2.29
G,113,Sánchez,4.7,4.7,Brighton,89,3.16,88,3.60,88,3.73,87,4.05
D,114,Lamptey,4.3,4.3,Brighton,28,0.65,26,1.11,25,1.16,25,1.34
M,115,Alzate,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
M,116,Mac Allister,5.7,5.7,Brighton,84,2.53,67,2.80,67,2.92,66,3.38
M,117,Moder,4.4,4.4,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
M,118,Mwepu,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
M,119,Sarmiento,4.5,4.5,Brighton,8,0.39,12,0.65,12,0.61,11,0.69
M,120,Caicedo,5.0,5.0,Brighton,83,2.07,81,2.49,77,2.46,75,2.72
M,121,Richards,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
D,122,Roberts,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
F,123,Undav,5.1,5.1,Brighton,11,0.49,10,0.49,12,0.61,10,0.65
M,124,Mitoma,4.9,4.9,Brighton,0,0.00,0,0.00,4,0.22,23,1.29
F,125,Enciso,4.8,4.8,Brighton,1,0.00,1,0.07,2,0.14,3,0.22
M,126,Kozłowski,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00
D,127,Azpilicueta,4.8,4.8,Chelsea,59,2.41,60,2.43,55,2.11,59,2.20
D,128,Thiago Silva,5.4,5.4,Chelsea,63,2.29,74,2.81,75,2.57,71,2.40
D,129,Alonso,5.3,5.3,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00
